area_of_improvement,recommdation_likeliness,communication_availability,online_platform,extracurricular_activities,library_availibility,prompt_feedback,classroom_interaction,course_clarity,student_support_services,academic_advisers,cleanliness,research_resources ,accommodation,course_curriculum,teaching_quality,student_satisfaction
Campus facilities,Likely,Average,Average,Good,Average,Yes,5,4,No,Moderately Available,Below Average,Average,Moderately satisfied,Good,Good,4
Communication and information,Likely,Excellent,Excellent,Good,Excellent,No,4,4,Yes,Moderately Available,Excellent,Excellent,Very satisfied,Excellent,Average,4
Student support services,Neutral,Average,Average,Average,Average,No,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
Campus facilities,Very likely,Average,Good,Good,Good,Yes,5,3,Yes,Moderately Available,Good,Good,Very satisfied,Good,Average,4
Student support services,Very unlikely,Excellent,Excellent,Poor,Below Average,No,3,3,No,Moderately Available,Good,Excellent,Not satisfied,Below Average,Average,2
Other,Likely,Good,Good,Below Average,Excellent,Yes,5,5,Yes,Very Available,Excellent,Good,Not satisfied,Average,Good,4
Student support services,Likely,Excellent,Excellent,Average,Good,Yes,4,4,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,4
Communication and information,Neutral,Good,Average,Average,Good,Yes,3,4,No,Moderately Available,Good,Good,Not satisfied,Average,Average,3
Academics,Neutral,Good,Excellent,Excellent,Excellent,Yes,3,4,No,Moderately Available,Excellent,Good,Very satisfied,Good,Good,4
Academics,Very unlikely,Average,Average,Average,Good,No,3,2,No,Slightly Available,Good,Average,Moderately satisfied,Below Average,Average,2
Academics,Very likely,Good,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Extremely satisfied,Excellent,Excellent,5
Campus facilities,Very likely,Good,Excellent,Good,Excellent,Yes,5,4,Yes,Very Available,Good,Excellent,Moderately satisfied,Good,Good,4
Academics,Neutral,Average,Average,Below Average,Average,No,2,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
Student support services,Neutral,Good,Average,Below Average,Average,No,3,4,Yes,Very Available,Good,Average,Moderately satisfied,Average,Average,2
Communication and information,Unlikely,Average,Good,Below Average,Good,Yes,1,3,Yes,Slightly Available,Average,Average,Slightly satisfied,Average,Below Average,2
Student support services,Likely,Good,Good,Good,Good,Yes,4,4,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,4
Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Very satisfied,Excellent,Excellent,5
Academics,Likely,Good,Excellent,Average,Excellent,Yes,3,3,No,Slightly Available,Excellent,Good,Very satisfied,Good,Good,3
Academics,Neutral,Excellent,Excellent,Excellent,Excellent,Yes,1,5,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Excellent,Excellent,4
Other,Very likely,Excellent,Excellent,Good,Excellent,Yes,5,5,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Excellent,5
Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
Communication and information,Likely,Average,Good,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Good,Extremely satisfied,Good,Excellent,5
