,area_of_improvement,recommdation_likeliness,communication_availability,online_platform,extracurricular_activities,library_availibility,prompt_feedback,classroom_interaction,course_clarity,student_support_services,academic_advisers,cleanliness,research_resources,accommodation,course_curriculum,teaching_quality,student_satisfaction
7/13/2023 1:35:22,Campus facilities,Likely,Average,Average,Good,Average,Yes,5,4,No,Moderately Available,Below Average,Average,Moderately satisfied,Good,Good,4
7/13/2023 1:36:14,Communication and information,Likely,Excellent,Excellent,Good,Excellent,No,4,4,Yes,Moderately Available,Excellent,Excellent,Very satisfied,Excellent,Average,4
7/13/2023 1:48:13,Student support services,Neutral,Average,Average,Average,Average,No,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
7/13/2023 1:50:30,Campus facilities,Very likely,Average,Good,Good,Good,Yes,5,3,Yes,Moderately Available,Good,Good,Very satisfied,Good,Average,4
7/13/2023 1:51:06,Student support services,Very unlikely,Excellent,Excellent,Poor,Below Average,No,3,3,No,Moderately Available,Good,Excellent,Not satisfied,Below Average,Average,2
7/13/2023 1:51:43,Other,Likely,Good,Good,Below Average,Excellent,Yes,5,5,Yes,Very Available,Excellent,Good,Not satisfied,Average,Good,4
7/13/2023 1:53:59,Student support services,Likely,Excellent,Excellent,Average,Good,Yes,4,4,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,4
7/13/2023 2:04:07,Communication and information,Neutral,Good,Average,Average,Good,Yes,3,4,No,Moderately Available,Good,Good,Not satisfied,Average,Average,3
7/13/2023 2:04:34,Academics,Neutral,Good,Excellent,Excellent,Excellent,Yes,3,4,No,Moderately Available,Excellent,Good,Very satisfied,Good,Good,4
7/13/2023 2:06:41,Academics,Very unlikely,Average,Average,Average,Good,No,3,2,No,Slightly Available,Good,Average,Moderately satisfied,Below Average,Average,2
7/13/2023 2:24:17,Academics,Very likely,Good,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 2:26:58,Campus facilities,Very likely,Good,Excellent,Good,Excellent,Yes,5,4,Yes,Very Available,Good,Excellent,Moderately satisfied,Good,Good,4
7/13/2023 2:30:18,Academics,Neutral,Average,Average,Below Average,Average,No,2,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
7/13/2023 2:35:24,Student support services,Neutral,Good,Average,Below Average,Average,No,3,4,Yes,Very Available,Good,Average,Moderately satisfied,Average,Average,2
7/13/2023 2:39:29,Communication and information,Unlikely,Average,Good,Below Average,Good,Yes,1,3,Yes,Slightly Available,Average,Average,Slightly satisfied,Average,Below Average,2
7/13/2023 2:41:13,Student support services,Likely,Good,Good,Good,Good,Yes,4,4,No,Moderately Available,Good,Good,Slightly satisfied,Good,Good,4
7/13/2023 2:53:22,Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Good,Excellent,Very satisfied,Excellent,Excellent,5
7/13/2023 3:42:10,Academics,Likely,Good,Excellent,Average,Excellent,Yes,3,3,No,Slightly Available,Excellent,Good,Very satisfied,Good,Good,3
7/13/2023 3:54:04,Academics,Neutral,Excellent,Excellent,Excellent,Excellent,Yes,1,5,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Excellent,Excellent,4
7/13/2023 4:16:16,Other,Very likely,Excellent,Excellent,Good,Excellent,Yes,5,5,Yes,Very Available,Excellent,Good,Very satisfied,Excellent,Excellent,5
7/13/2023 4:21:21,Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 4:22:07,Communication and information,Likely,Average,Good,Good,Excellent,Yes,4,4,No,Moderately Available,Excellent,Good,Extremely satisfied,Good,Excellent,5
7/13/2023 4:23:06,Other,Neutral,Good,Excellent,Good,Excellent,Yes,3,4,No,Moderately Available,Good,Good,Moderately satisfied,Average,Good,4
7/13/2023 4:24:03,Academics,Neutral,Good,Good,Average,Good,Yes,4,1,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,3
7/13/2023 4:27:47,Student support services,Neutral,Good,Good,Good,Good,Yes,2,2,No,Slightly Available,Average,Average,Moderately satisfied,Average,Average,3
7/13/2023 4:41:36,Student support services,Likely,Good,Good,Average,Excellent,Yes,4,4,Yes,Moderately Available,Good,Average,Slightly satisfied,Good,Good,3
7/13/2023 4:47:22,Academics,Very unlikely,Excellent,Good,Good,Good,Yes,5,4,Yes,Very Available,Excellent,Good,Very satisfied,Good,Good,1
7/13/2023 4:49:57,Academics,Unlikely,Good,Good,Average,Excellent,No,3,2,Yes,Moderately Available,Excellent,Average,Extremely satisfied,Below Average,Below Average,3
7/13/2023 5:13:48,Student support services,Likely,Good,Excellent,Below Average,Excellent,Yes,2,4,Yes,Moderately Available,Average,Average,Moderately satisfied,Excellent,Good,3
7/13/2023 5:15:41,Campus facilities,Unlikely,Average,Good,Average,Good,No,3,3,No,Moderately Available,Excellent,Good,Moderately satisfied,Below Average,Average,2
7/13/2023 5:22:41,Academics,Likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Excellent,Very satisfied,Average,Good,4
7/13/2023 6:05:06,Student support services,Likely,Excellent,Average,Below Average,Good,Yes,4,5,Yes,Moderately Available,Excellent,Excellent,Extremely satisfied,Good,Good,4
7/13/2023 6:32:52,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,1
7/13/2023 6:39:41,Student support services,Likely,Excellent,Excellent,Excellent,Excellent,Yes,4,5,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,4
7/13/2023 6:45:42,Campus facilities,Very likely,Excellent,Good,Excellent,Excellent,Yes,5,4,Yes,Very Available,Good,Good,Extremely satisfied,Excellent,Excellent,5
7/13/2023 6:50:25,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 6:59:05,Student support services,Neutral,Good,Average,Below Average,Good,No,4,3,No,Moderately Available,Good,Average,Slightly satisfied,Good,Average,3
7/13/2023 7:00:12,Communication and information,Likely,Good,Good,Average,Excellent,Yes,4,5,Yes,Moderately Available,Excellent,Good,Very satisfied,Good,Good,4
7/13/2023 7:01:27,Student support services,Neutral,Average,Excellent,Below Average,Average,No,3,4,Yes,Very Available,Average,Average,Moderately satisfied,Good,Good,3
7/13/2023 7:14:04,Communication and information,Likely,Good,Good,Excellent,Excellent,Yes,4,4,Yes,Very Available,Good,Average,Very satisfied,Good,Excellent,4
7/13/2023 7:20:23,Academics,Very unlikely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 7:27:08,Student support services,Unlikely,Poor,Below Average,Poor,Below Average,No,2,3,No,Moderately Available,Excellent,Average,Moderately satisfied,Below Average,Average,3
7/13/2023 7:30:57,Academics,Neutral,Average,Good,Average,Good,Yes,5,4,No,Moderately Available,Good,Average,Moderately satisfied,Good,Good,4
7/13/2023 7:39:44,Campus facilities,Likely,Good,Good,Excellent,Excellent,No,5,3,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Excellent,4
7/13/2023 7:46:51,Student support services,Likely,Excellent,Good,Excellent,Good,Yes,5,5,Yes,Moderately Available,Good,Good,Very satisfied,Good,Excellent,5
7/13/2023 7:49:04,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,1,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 8:01:55,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 8:05:40,Student support services,Neutral,Good,Good,Good,Good,Yes,3,4,No,Moderately Available,Good,Good,Moderately satisfied,Good,Good,3
7/13/2023 8:09:26,Student support services,Likely,Average,Excellent,Average,Excellent,Yes,5,3,No,Moderately Available,Excellent,Excellent,Moderately satisfied,Good,Average,4
7/13/2023 8:17:51,Student support services,Neutral,Below Average,Excellent,Poor,Average,Yes,2,3,No,Moderately Available,Good,Average,Moderately satisfied,Average,Average,3
7/13/2023 8:20:05,Other,Neutral,Good,Good,Good,Good,Yes,4,4,Yes,Very Available,Good,Good,Very satisfied,Good,Good,4
7/13/2023 8:21:29,Other,Likely,Good,Excellent,Good,Good,Yes,3,3,No,Moderately Available,Good,Good,Very satisfied,Good,Average,3
7/13/2023 8:26:13,Student support services,Very likely,Excellent,Excellent,Excellent,Good,Yes,4,5,Yes,Moderately Available,Good,Excellent,Very satisfied,Good,Good,4
7/13/2023 8:26:42,Academics,Unlikely,Average,Excellent,Poor,Good,No,2,3,No,Moderately Available,Excellent,Below Average,Very satisfied,Average,Average,3
7/13/2023 8:38:41,Academics,Neutral,Average,Good,Average,Average,No,4,3,No,Moderately Available,Average,Average,Moderately satisfied,Good,Good,3
7/13/2023 9:04:09,Academics,Very likely,Excellent,Excellent,Good,Excellent,No,4,4,No,Very Available,Excellent,Excellent,Extremely satisfied,Good,Good,4
7/13/2023 9:12:26,Student support services,Neutral,Good,Average,Below Average,Average,No,3,3,No,Moderately Available,Excellent,Average,Very satisfied,Average,Good,4
7/13/2023 9:34:06,Campus facilities,Unlikely,Below Average,Good,Poor,Below Average,No,2,3,No,Slightly Available,Average,Average,Slightly satisfied,Good,Good,3
7/13/2023 9:41:06,Campus facilities,Likely,Good,Good,Good,Good,Yes,2,4,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,2
7/13/2023 9:44:09,Academics,Neutral,Average,Good,Below Average,Below Average,No,3,3,No,Slightly Available,Good,Average,Moderately satisfied,Good,Good,3
7/13/2023 9:50:54,Campus facilities,Unlikely,Good,Good,Good,Good,No,2,3,Yes,Slightly Available,Excellent,Average,Very satisfied,Good,Below Average,3
7/13/2023 10:05:25,Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 10:38:35,Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Very satisfied,Excellent,Excellent,5
7/13/2023 10:41:26,Academics,Likely,Average,Good,Excellent,Good,Yes,5,4,No,Very Available,Excellent,Excellent,Very satisfied,Good,Good,4
7/13/2023 10:42:33,Student support services,Likely,Good,Good,Good,Good,No,3,4,No,Moderately Available,Average,Good,Moderately satisfied,Good,Good,3
7/13/2023 10:44:54,Campus facilities,Likely,Good,Good,Good,Good,Yes,2,4,Yes,Very Available,Good,Good,Very satisfied,Excellent,Good,4
7/13/2023 10:47:18,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 10:50:01,Student support services,Likely,Good,Excellent,Average,Excellent,Yes,4,5,No,Very Available,Excellent,Excellent,Moderately satisfied,Good,Good,3
7/13/2023 11:01:37,Campus facilities,Very likely,Average,Good,Excellent,Average,No,5,4,No,Moderately Available,Good,Average,Moderately satisfied,Good,Good,4
7/13/2023 11:09:28,Academics,Likely,Good,Good,Good,Good,Yes,4,4,Yes,Moderately Available,Good,Good,Very satisfied,Good,Good,4
7/13/2023 11:16:20,Communication and information,Very likely,Good,Good,Good,Excellent,No,3,3,Yes,Moderately Available,Excellent,Good,Very satisfied,Excellent,Good,5
7/13/2023 11:27:42,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Moderately Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 11:43:59,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 11:45:04,Student support services,Neutral,Below Average,Below Average,Poor,Below Average,No,2,3,No,Moderately Available,Good,Below Average,Moderately satisfied,Average,Good,3
7/13/2023 11:47:08,Campus facilities,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,1,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 11:51:04,Communication and information,Neutral,Below Average,Average,Below Average,Good,No,3,3,No,Not Available,Average,Below Average,Moderately satisfied,Good,Good,3
7/13/2023 11:51:51,Academics,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 11:55:25,Communication and information,Neutral,Below Average,Excellent,Good,Good,No,3,3,No,Moderately Available,Average,Average,Moderately satisfied,Average,Average,3
7/13/2023 11:57:05,Student support services,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,Yes,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 11:57:43,Campus facilities,Likely,Good,Good,Good,Good,Yes,3,3,Yes,Moderately Available,Excellent,Good,Very satisfied,Good,Good,2
7/13/2023 12:02:38,Academics,Very likely,Good,Excellent,Excellent,Excellent,Yes,4,4,Yes,Very Available,Excellent,Excellent,Very satisfied,Good,Good,4
7/13/2023 12:10:16,Academics,Neutral,Excellent,Excellent,Good,Excellent,No,3,4,No,Moderately Available,Excellent,Good,Very satisfied,Good,Average,4
7/13/2023 12:14:48,Communication and information,Very likely,Excellent,Excellent,Excellent,Excellent,Yes,5,5,No,Very Available,Excellent,Excellent,Extremely satisfied,Excellent,Excellent,5
7/13/2023 12:17:46,Academics,Neutral,Good,Below Average,Average,Excellent,Yes,3,4,Yes,Very Available,Excellent,Good,Moderately satisfied,Good,Average,3
7/13/2023 12:22:41,Campus facilities,Neutral,Good,Good,Good,Good,Yes,3,3,No,Moderately Available,Good,Average,Moderately satisfied,Good,Good,3
7/13/2023 12:27:32,Campus facilities,Neutral,Good,Excellent,Excellent,Average,Yes,3,5,No,Moderately Available,Good,Excellent,Moderately satisfied,Good,Good,4
